Num_Conv_Layers,Num_Filters,Kernel_Size,MLP_Num_Hidden_Layers,MLP_Units_Per_Layer,Activation,Dropout_Rate,Batch_Size,Epochs,Learning_Rate,Output_Activation,Accuracy
1,32,"(5, 5)",2,64,tanh,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,64,tanh,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",2,128,relu,0.4,32,50,0.001,sigmoid,0.9611872434616088
1,32,"(5, 5)",2,128,relu,0.4,32,50,0.001,softmax,0.9646118879318236
1,32,"(5, 5)",2,128,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,128,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",2,128,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,128,relu,0.4,32,50,0.1,softmax,0.3321917951107025
1,32,"(5, 5)",2,128,sigmoid,0.4,32,50,0.001,sigmoid,0.3253424763679504
1,32,"(5, 5)",2,128,sigmoid,0.4,32,50,0.001,softmax,0.3424657583236694
1,32,"(5, 5)",2,128,sigmoid,0.4,32,50,0.01,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,128,sigmoid,0.4,32,50,0.01,softmax,0.3253424763679504
1,32,"(5, 5)",2,128,sigmoid,0.4,32,50,0.1,softmax,0.3424657583236694
1,32,"(5, 5)",2,128,tanh,0.4,32,50,0.001,sigmoid,0.351598173379898
1,32,"(5, 5)",2,128,tanh,0.4,32,50,0.001,softmax,0.482876718044281
1,32,"(5, 5)",2,128,tanh,0.4,32,50,0.01,sigmoid,0.3253424763679504
1,32,"(5, 5)",2,128,tanh,0.4,32,50,0.01,softmax,0.3321917951107025
1,32,"(5, 5)",2,128,tanh,0.4,32,50,0.1,sigmoid,0.3321917951107025
1,32,"(5, 5)",2,128,tanh,0.4,32,50,0.1,softmax,0.3253424763679504
1,32,"(5, 5)",2,256,relu,0.4,32,50,0.001,sigmoid,0.9589040875434875
1,32,"(5, 5)",2,256,relu,0.4,32,50,0.001,softmax,0.9611872434616088
1,32,"(5, 5)",2,256,relu,0.4,32,50,0.01,sigmoid,0.3424657583236694
1,32,"(5, 5)",2,256,relu,0.4,32,50,0.01,softmax,0.3424657583236694
1,32,"(5, 5)",2,256,relu,0.4,32,50,0.1,sigmoid,0.3424657583236694
