Hidden Layers,Units per Layer,Activation,Learning Rate,Batch Size,Epochs,Accuracy
1,256,sigmoid,0.001,16,50,0.8721461187214612
1,256,sigmoid,0.001,16,70,0.8710045662100456
1,256,sigmoid,0.001,32,10,0.6655251141552512
1,256,sigmoid,0.001,32,30,0.8481735159817352
1,256,sigmoid,0.001,32,50,0.8721461187214612
1,256,sigmoid,0.001,32,70,0.863013698630137
1,256,sigmoid,0.001,64,10,0.5821917808219178
1,256,sigmoid,0.001,64,30,0.8299086757990868
1,256,sigmoid,0.001,64,50,0.8527397260273972
1,256,sigmoid,0.001,64,70,0.8493150684931506
1,256,sigmoid,0.01,16,10,0.8618721461187214
1,256,sigmoid,0.01,16,30,0.8664383561643836
1,256,sigmoid,0.01,16,50,0.8698630136986302
1,256,sigmoid,0.01,16,70,0.8618721461187214
1,256,sigmoid,0.01,32,10,0.8447488584474886
1,256,sigmoid,0.01,32,30,0.8573059360730594
1,256,sigmoid,0.01,32,50,0.8641552511415526
1,256,sigmoid,0.01,32,70,0.865296803652968
1,256,sigmoid,0.01,64,10,0.8333333333333334
1,256,sigmoid,0.01,64,30,0.8573059360730594
1,256,sigmoid,0.01,64,50,0.8493150684931506
1,256,sigmoid,0.01,64,70,0.8504566210045662
1,256,sigmoid,0.1,16,10,0.6118721461187214
1,256,sigmoid,0.1,16,30,0.634703196347032
1,256,sigmoid,0.1,16,50,0.660958904109589
1,256,sigmoid,0.1,16,70,0.6541095890410958
1,256,sigmoid,0.1,32,10,0.5799086757990868
1,256,sigmoid,0.1,32,30,0.6598173515981736
1,256,sigmoid,0.1,32,50,0.7123287671232876
1,256,sigmoid,0.1,32,70,0.7009132420091324
1,256,sigmoid,0.1,64,10,0.6883561643835616
1,256,sigmoid,0.1,64,30,0.684931506849315
1,256,sigmoid,0.1,64,50,0.7180365296803652
1,256,sigmoid,0.1,64,70,0.7077625570776256
1,256,tanh,0.001,16,10,0.8253424657534246
1,256,tanh,0.001,16,30,0.8447488584474886
1,256,tanh,0.001,16,50,0.8595890410958904
1,256,tanh,0.001,16,70,0.8515981735159818
1,256,tanh,0.001,32,10,0.7888127853881278
1,256,tanh,0.001,32,30,0.8573059360730594
1,256,tanh,0.001,32,50,0.8481735159817352
1,256,tanh,0.001,32,70,0.8561643835616438
1,256,tanh,0.001,64,10,0.7625570776255708
1,256,tanh,0.001,64,30,0.8515981735159818
1,256,tanh,0.001,64,50,0.83675799086758
1,256,tanh,0.001,64,70,0.8470319634703196
1,256,tanh,0.01,16,10,0.841324200913242
1,256,tanh,0.01,16,30,0.8356164383561644
1,256,tanh,0.01,16,50,0.8356164383561644
1,256,tanh,0.01,16,70,0.8504566210045662
1,256,tanh,0.01,32,10,0.839041095890411
1,256,tanh,0.01,32,30,0.8550228310502284
1,256,tanh,0.01,32,50,0.8538812785388128
1,256,tanh,0.01,32,70,0.839041095890411
1,256,tanh,0.01,64,10,0.8595890410958904
1,256,tanh,0.01,64,30,0.8378995433789954
1,256,tanh,0.01,64,50,0.8515981735159818
1,256,tanh,0.01,64,70,0.8527397260273972
1,256,tanh,0.1,16,10,0.4668949771689498
1,256,tanh,0.1,16,30,0.5376712328767124
1,256,tanh,0.1,16,50,0.5742009132420092
1,256,tanh,0.1,16,70,0.5753424657534246
1,256,tanh,0.1,32,10,0.5376712328767124
1,256,tanh,0.1,32,30,0.58675799086758
1,256,tanh,0.1,32,50,0.6244292237442922
1,256,tanh,0.1,32,70,0.6255707762557078
1,256,tanh,0.1,64,10,0.5547945205479452
1,256,tanh,0.1,64,30,0.613013698630137
1,256,tanh,0.1,64,50,0.6232876712328768
1,256,tanh,0.1,64,70,0.6449771689497716
