Learning Rate,Activation,Units per Layer,Hidden Layers,Epochs,Batch Size,Accuracy
0.1,relu,512,1,50,32,0.8904109589041096
0.1,relu,512,1,70,32,0.8767123287671232
0.1,relu,512,1,10,64,0.8401826484018264
0.1,relu,512,1,30,64,0.8515981735159818
0.1,relu,512,1,50,64,0.8949771689497716
0.1,relu,512,1,70,64,0.8881278538812786
0.001,sigmoid,512,1,10,16,0.726027397260274
0.001,sigmoid,512,1,30,16,0.815068493150685
0.001,sigmoid,512,1,50,16,0.8264840182648402
0.001,sigmoid,512,1,70,16,0.819634703196347
0.001,sigmoid,512,1,10,32,0.6666666666666666
0.001,sigmoid,512,1,30,32,0.7876712328767124
0.001,sigmoid,512,1,50,32,0.8105022831050228
0.001,sigmoid,512,1,70,32,0.821917808219178
0.001,sigmoid,512,1,10,64,0.6415525114155252
0.001,sigmoid,512,1,30,64,0.7511415525114156
0.001,sigmoid,512,1,50,64,0.7968036529680366
0.001,sigmoid,512,1,70,64,0.8082191780821918
0.01,sigmoid,512,1,10,16,0.821917808219178
0.01,sigmoid,512,1,30,16,0.8287671232876712
0.01,sigmoid,512,1,50,16,0.817351598173516
0.01,sigmoid,512,1,70,16,0.8378995433789954
0.01,sigmoid,512,1,10,32,0.8127853881278538
0.01,sigmoid,512,1,30,32,0.819634703196347
0.01,sigmoid,512,1,50,32,0.8242009132420092
0.01,sigmoid,512,1,70,32,0.817351598173516
0.01,sigmoid,512,1,10,64,0.7990867579908676
0.01,sigmoid,512,1,30,64,0.8013698630136986
0.01,sigmoid,512,1,50,64,0.815068493150685
0.01,sigmoid,512,1,70,64,0.8082191780821918
0.1,sigmoid,512,1,10,16,0.6735159817351598
0.1,sigmoid,512,1,30,16,0.7191780821917808
0.1,sigmoid,512,1,50,16,0.6894977168949772
0.1,sigmoid,512,1,70,16,0.6940639269406392
0.1,sigmoid,512,1,10,32,0.6757990867579908
0.1,sigmoid,512,1,30,32,0.682648401826484
0.1,sigmoid,512,1,50,32,0.6963470319634704
0.1,sigmoid,512,1,70,32,0.723744292237443
0.1,sigmoid,512,1,10,64,0.771689497716895
0.1,sigmoid,512,1,30,64,0.769406392694064
0.1,sigmoid,512,1,50,64,0.7625570776255708
0.1,sigmoid,512,1,70,64,0.769406392694064
0.001,tanh,512,1,10,16,0.7968036529680366
0.001,tanh,512,1,30,16,0.8059360730593608
0.001,tanh,512,1,50,16,0.8127853881278538
0.001,tanh,512,1,70,16,0.8242009132420092
0.001,tanh,512,1,10,32,0.7648401826484018
0.001,tanh,512,1,30,32,0.7990867579908676
0.001,tanh,512,1,50,32,0.8036529680365296
0.001,tanh,512,1,70,32,0.7990867579908676
0.001,tanh,512,1,10,64,0.7488584474885844
0.001,tanh,512,1,30,64,0.7831050228310502
0.001,tanh,512,1,50,64,0.8059360730593608
0.001,tanh,512,1,70,64,0.8082191780821918
0.01,tanh,512,1,10,16,0.8310502283105022
0.01,tanh,512,1,30,16,0.8356164383561644
0.01,tanh,512,1,50,16,0.8287671232876712
0.01,tanh,512,1,70,16,0.8424657534246576
0.01,tanh,512,1,10,32,0.8356164383561644
0.01,tanh,512,1,30,32,0.8287671232876712
0.01,tanh,512,1,50,32,0.8242009132420092
0.01,tanh,512,1,70,32,0.8310502283105022
0.01,tanh,512,1,10,64,0.819634703196347
0.01,tanh,512,1,30,64,0.8105022831050228
0.01,tanh,512,1,50,64,0.819634703196347
0.01,tanh,512,1,70,64,0.7990867579908676
0.1,tanh,512,1,10,16,0.5821917808219178
0.1,tanh,512,1,30,16,0.6301369863013698
0.1,tanh,512,1,50,16,0.6301369863013698
0.1,tanh,512,1,70,16,0.6438356164383562
0.1,tanh,512,1,10,32,0.6666666666666666
0.1,tanh,512,1,30,32,0.6301369863013698
0.1,tanh,512,1,50,32,0.636986301369863
0.1,tanh,512,1,70,32,0.6484018264840182
0.1,tanh,512,1,10,64,0.6484018264840182
0.1,tanh,512,1,30,64,0.6438356164383562
0.1,tanh,512,1,50,64,0.6643835616438356
0.1,tanh,512,1,70,64,0.7009132420091324
0.001,relu,32,2,10,16,0.8538812785388128
0.001,relu,32,2,30,16,0.8447488584474886
0.001,relu,32,2,50,16,0.8584474885844748
0.001,relu,32,2,70,16,0.8538812785388128
0.001,relu,32,2,10,32,0.8105022831050228
0.001,relu,32,2,30,32,0.8538812785388128
0.001,relu,32,2,50,32,0.8493150684931506
